id,category
1,accommodation
2,accommodation.hotel
3,accommodation.hut
4,accommodation.apartment
5,accommodation.chalet
6,accommodation.guest_house
7,accommodation.hostel
8,accommodation.motel
9,activity
10,activity.community_center
11,activity.sport_club
12,commercial
13,commercial.supermarket
14,commercial.marketplace
15,commercial.shopping_mall
16,commercial.department_store
17,commercial.elektronics
18,commercial.outdoor_and_sport
19,commercial.outdoor_and_sport.water_sports
20,commercial.outdoor_and_sport.ski
21,commercial.outdoor_and_sport.diving
22,commercial.outdoor_and_sport.hunting
23,commercial.outdoor_and_sport.bicycle
24,commercial.outdoor_and_sport.fishing
25,commercial.outdoor_and_sport.golf
26,commercial.vehicle
27,commercial.hobby
28,commercial.hobby.model
29,commercial.hobby.anime
30,commercial.hobby.collecting
31,commercial.hobby.games
32,commercial.hobby.brewing
33,commercial.hobby.photo
34,commercial.hobby.music
35,commercial.hobby.sewing_and_knitting
36,commercial.hobby.art
37,commercial.books
38,commercial.gift_and_souvenir
39,commercial.stationery
40,commercial.newsagent
41,commercial.tickets_and_lottery
42,commercial.clothing
43,commercial.clothing.shoes
44,commercial.clothing.clothes
45,commercial.clothing.underwear
46,commercial.clothing.sport
47,commercial.clothing.men
48,commercial.clothing.women
49,commercial.clothing.kids
50,commercial.clothing.accessories
51,commercial.bag
52,commercial.baby_goods
53,commercial.agrarian
54,commercial.garden
55,commercial.houseware_and_hardware
56,commercial.houseware_and_hardware.doityourself
57,commercial.houseware_and_hardware.hardware_and_tools
58,commercial.houseware_and_hardware.building_materials
59,commercial.houseware_and_hardware.building_materials.paint
60,commercial.houseware_and_hardware.building_materials.glaziery
61,commercial.houseware_and_hardware.building_materials.doors
62,commercial.houseware_and_hardware.building_materials.tiles
63,commercial.houseware_and_hardware.building_materials.windows
64,commercial.houseware_and_hardware.building_materials.flooring
65,commercial.houseware_and_hardware.fireplace
66,commercial.houseware_and_hardware.swimming_pool
67,commercial.florist
68,commercial.furniture_and_interior
69,commercial.furniture_and_interior.lighting
70,commercial.furniture_and_interior.curtain
71,commercial.furniture_and_interior.carpet
72,commercial.furniture_and_interior.kitchen
73,commercial.furniture_and_interior.bed
74,commercial.furniture_and_interior.bathroom
75,commercial.chemist
76,commercial.health_and_beauty
77,commercial.health_and_beauty.pharmacy
78,commercial.health_and_beauty.optician
79,commercial.health_and_beauty.medical_supply
80,commercial.health_and_beauty.hearing_aids
81,commercial.health_and_beauty.herbalist
82,commercial.health_and_beauty.cosmetics
83,commercial.health_and_beauty.wigs
84,commercial.toy_and_game
85,commercial.pet
86,commercial.food_and_drink
87,commercial.food_and_drink.bakery
88,commercial.food_and_drink.deli
89,commercial.food_and_drink.frozen_food
90,commercial.food_and_drink.pasta
91,commercial.food_and_drink.spices
92,commercial.food_and_drink.organic
93,commercial.food_and_drink.honey
94,commercial.food_and_drink.rice
95,commercial.food_and_drink.nuts
96,commercial.food_and_drink.health_food
97,commercial.food_and_drink.ice_cream
98,commercial.food_and_drink.seafood
99,commercial.food_and_drink.fruit_and_vegetable
100,commercial.food_and_drink.farm
101,commercial.food_and_drink.confectionery
102,commercial.food_and_drink.chocolate
103,commercial.food_and_drink.butcher
104,commercial.food_and_drink.cheese_and_dairy
105,commercial.food_and_drink.drinks
106,commercial.food_and_drink.coffee_and_tea
107,commercial.convenience
108,commercial.discount_store
109,commercial.smoking
110,commercial.second_hand
111,commercial.gas
112,commercial.weapons
113,commercial.pyrotechnics
114,commercial.energy
115,commercial.wedding
116,commercial.jewelry
117,commercial.watches
118,commercial.art
119,commercial.antiques
120,commercial.video_and_music
121,commercial.erotic
122,commercial.trade
123,commercial.kiosk
124,catering
125,catering.restaurant
126,catering.restaurant.pizza
127,catering.restaurant.burger
128,catering.restaurant.regional
129,catering.restaurant.italian
130,catering.restaurant.chinese
131,catering.restaurant.sandwich
132,catering.restaurant.chicken
133,catering.restaurant.mexican
134,catering.restaurant.japanese
135,catering.restaurant.american
136,catering.restaurant.kebab
137,catering.restaurant.indian
138,catering.restaurant.asian
139,catering.restaurant.sushi
140,catering.restaurant.french
141,catering.restaurant.german
142,catering.restaurant.thai
143,catering.restaurant.greek
144,catering.restaurant.seafood
145,catering.restaurant.fish_and_chips
146,catering.restaurant.steak_house
147,catering.restaurant.international
148,catering.restaurant.tex-mex
149,catering.restaurant.vietnamese
150,catering.restaurant.turkish
151,catering.restaurant.korean
152,catering.restaurant.noodle
153,catering.restaurant.barbecue
154,catering.restaurant.spanish
155,catering.restaurant.fish
156,catering.restaurant.ramen
157,catering.restaurant.mediterranean
158,catering.restaurant.friture
159,catering.restaurant.beef_bowl
160,catering.restaurant.lebanese
161,catering.restaurant.wings
162,catering.restaurant.georgian
163,catering.restaurant.tapas
164,catering.restaurant.indonesian
165,catering.restaurant.arab
166,catering.restaurant.portuguese
167,catering.restaurant.russian
168,catering.restaurant.filipino
169,catering.restaurant.african
170,catering.restaurant.malaysian
171,catering.restaurant.caribbean
172,catering.restaurant.peruvian
173,catering.restaurant.bavarian
174,catering.restaurant.brazilian
175,catering.restaurant.curry
176,catering.restaurant.dumpling
177,catering.restaurant.persian
178,catering.restaurant.argentinian
179,catering.restaurant.oriental
180,catering.restaurant.balkan
181,catering.restaurant.moroccan
182,catering.restaurant.pita
183,catering.restaurant.ethiopian
184,catering.restaurant.taiwanese
185,catering.restaurant.latin_american
186,catering.restaurant.hawaiian
187,catering.restaurant.irish
188,catering.restaurant.austrian
189,catering.restaurant.croatian
190,catering.restaurant.danish
191,catering.restaurant.tacos
192,catering.restaurant.bolivian
193,catering.restaurant.hungarian
194,catering.restaurant.western
195,catering.restaurant.european
196,catering.restaurant.jamaican
197,catering.restaurant.cuban
198,catering.restaurant.soup
199,catering.restaurant.uzbek
200,catering.restaurant.nepalese
201,catering.restaurant.czech
202,catering.restaurant.syrian
203,catering.restaurant.afghan
204,catering.restaurant.malay
205,catering.restaurant.chili
206,catering.restaurant.belgian
207,catering.restaurant.ukrainian
208,catering.restaurant.swedish
209,catering.restaurant.pakistani
210,catering.fast_food
211,catering.fast_food.pizza
212,catering.fast_food.burger
213,catering.fast_food.sandwich
214,catering.fast_food.kebab
215,catering.fast_food.fish_and_chips
216,catering.fast_food.noodle
217,catering.fast_food.ramen
218,catering.fast_food.wings
219,catering.fast_food.tapas
220,catering.fast_food.pita
221,catering.fast_food.tacos
222,catering.fast_food.soup
223,catering.fast_food.salad
224,catering.fast_food.hot_dog
225,catering.cafe
226,catering.cafe.waffle
227,catering.cafe.ice_cream
228,catering.cafe.coffee_shop
229,catering.cafe.donut
230,catering.cafe.crepe
231,catering.cafe.bubble_tea
232,catering.cafe.cake
233,catering.cafe.frozen_yogurt
234,catering.cafe.dessert
235,catering.cafe.coffee
236,catering.cafe.tea
237,catering.food_court
238,catering.bar
239,catering.pub
240,catering.ice_cream
241,catering.biergarten
242,catering.taproom
243,education
244,education.school
245,education.driving_school
246,education.music_school
247,education.language_school
248,education.library
249,education.college
250,education.university
251,childcare
252,childcare.kindergarten
253,entertainment
254,entertainment.culture
255,entertainment.culture.theatre
256,entertainment.culture.arts_centre
257,entertainment.culture.gallery
258,entertainment.zoo
259,entertainment.aquarium
260,entertainment.planetarium
261,entertainment.museum
262,entertainment.cinema
263,entertainment.amusement_arcade
264,entertainment.escape_game
265,entertainment.miniature_golf
266,entertainment.bowling_alley
267,entertainment.flying_fox
268,entertainment.theme_park
269,entertainment.water_park
270,entertainment.activity_park
271,entertainment.activity_park.trampoline
272,entertainment.activity_park.climbing
273,healthcare
274,healthcare.clinic_or_praxis
275,healthcare.clinic_or_praxis.allergology
276,healthcare.clinic_or_praxis.vascular_surgery
277,healthcare.clinic_or_praxis.urology
278,healthcare.clinic_or_praxis.trauma
279,healthcare.clinic_or_praxis.rheumatology
280,healthcare.clinic_or_praxis.radiology
281,healthcare.clinic_or_praxis.pulmonology
282,healthcare.clinic_or_praxis.psychiatry
283,healthcare.clinic_or_praxis.paediatrics
284,healthcare.clinic_or_praxis.otolaryngology
285,healthcare.clinic_or_praxis.orthopaedics
286,healthcare.clinic_or_praxis.ophthalmology
287,healthcare.clinic_or_praxis.occupational
288,healthcare.clinic_or_praxis.gynaecology
289,healthcare.clinic_or_praxis.general
290,healthcare.clinic_or_praxis.gastroenterology
291,healthcare.clinic_or_praxis.endocrinology
292,healthcare.clinic_or_praxis.dermatology
293,healthcare.clinic_or_praxis.cardiology
294,healthcare.dentist
295,healthcare.dentist.orthodontics
296,healthcare.hospital
297,healthcare.pharmacy
298,heritage
299,heritage.unesco
300,leisure
301,leisure.picnic
302,leisure.picnic.picnic_site
303,leisure.picnic.picnic_table
304,leisure.picnic.bbq
305,leisure.playground
306,leisure.spa
307,leisure.spa.public_bath
308,leisure.spa.sauna
309,leisure.park
310,leisure.park.garden
311,leisure.park.nature_reserve
312,man_made
313,man_made.pier
314,man_made.breakwater
315,man_made.tower
316,man_made.water_tower
317,man_made.bridge
318,man_made.lighthouse
319,man_made.windmill
320,man_made.watermill
321,natural
322,natural.forest
323,natural.water
324,natural.water.spring
325,natural.water.reef
326,natural.water.hot_spring
327,natural.water.geyser
328,natural.water.sea
329,natural.mountain
330,natural.mountain.peak
331,natural.mountain.glacier
332,natural.mountain.cliff
333,natural.mountain.rock
334,natural.mountain.cave_entrance
335,natural.sand
